Realistic,Investigative,Artistic,Social,Enterprising,Conventional,CGPA,Programming,Mathematics,ProblemSolving,Communication,Leadership,Creativity,Technical,DataAnalysis,PublicSpeaking,Research,Career
5.7,8.0,3.7,5.1,4.4,5.3,3.52,3.4,3.1,3.7,3.3,2.4,4.1,3.8,3.6,4.6,3.3,Cybersecurity Analyst
4.5,3.5,9.7,4.1,4.2,7.4,4.08,1.6,1.6,3.9,3.9,2.5,5.0,3.7,2.8,2.8,2.4,Graphic Designer/UI-UX
9.1,7.8,1.5,2.7,2.3,4.4,3.97,3.2,4.5,3.8,4.3,3.5,3.5,5.0,2.6,3.2,3.9,Civil/Mechanical Engineer
9.2,7.4,3.7,3.8,6.6,3.7,3.49,2.2,4.4,4.0,1.7,2.6,5.0,4.8,3.7,2.7,3.5,Civil/Mechanical Engineer
6.2,7.6,3.1,3.5,4.3,5.5,4.75,3.2,3.9,4.8,3.8,2.9,3.0,4.7,4.2,2.5,2.9,Cybersecurity Analyst
3.8,9.0,1.7,2.2,1.0,5.3,3.62,4.3,3.3,3.9,3.4,2.2,3.8,3.6,3.9,3.8,4.0,Software Developer
5.0,5.1,6.4,8.6,8.9,3.1,3.76,3.0,2.9,3.3,5.0,4.5,2.9,1.0,3.6,4.7,4.4,Teacher/Lecturer
4.4,2.6,4.8,9.6,7.7,4.3,3.59,1.0,3.0,4.9,4.6,3.7,3.1,2.4,4.1,4.9,2.2,Human Resources Manager
3.8,7.8,4.8,5.1,6.2,6.8,3.64,3.7,5.0,4.4,3.6,1.9,3.5,3.4,5.0,3.8,4.0,Data Scientist
7.3,5.5,8.4,5.9,6.7,5.8,2.75,4.5,4.8,4.9,5.0,2.6,5.0,3.1,2.8,2.9,2.8,Graphic Designer/UI-UX
3.6,6.9,4.9,7.9,4.2,8.0,3.33,1.4,2.8,4.2,4.7,4.4,5.0,3.3,3.9,5.0,4.3,Teacher/Lecturer
9.7,5.1,5.0,5.2,4.6,4.5,3.82,3.0,5.0,2.8,2.5,4.0,3.5,5.0,3.7,2.9,3.2,Civil/Mechanical Engineer
2.9,4.7,5.3,7.1,6.8,8.2,4.12,2.8,4.7,4.5,4.0,4.2,1.9,3.2,4.5,3.5,2.8,Banker/Financial Analyst
5.7,6.2,4.4,3.1,8.2,9.4,4.14,1.4,5.0,3.8,3.4,3.8,3.0,2.2,5.0,4.8,3.8,Accountant/Auditor
7.1,9.8,5.1,4.3,6.2,7.5,4.52,4.8,4.3,4.1,2.9,4.0,1.8,4.1,4.9,4.2,4.4,Data Scientist
6.5,9.1,5.2,2.5,6.7,5.2,3.69,4.0,3.7,4.1,2.8,4.5,2.3,3.1,5.0,2.3,2.9,Software Developer
6.8,6.8,4.0,2.4,4.7,7.3,4.02,3.3,5.0,4.6,2.3,3.0,3.7,3.7,4.0,1.9,3.1,Software Developer
5.7,6.4,8.7,4.2,5.2,5.4,3.33,4.4,2.9,5.0,1.9,1.8,3.1,5.0,3.8,1.3,4.6,Software Developer
4.8,3.4,5.4,7.6,7.0,7.9,4.42,2.0,1.5,3.6,3.7,4.2,4.2,1.0,2.8,3.8,4.8,Human Resources Manager
7.0,9.7,6.6,3.8,5.1,9.8,4.27,3.5,3.3,5.0,2.3,4.1,3.5,4.8,3.8,2.2,5.0,Cybersecurity Analyst
6.3,2.5,6.8,10.0,8.4,5.9,2.24,1.9,3.2,4.0,4.8,3.9,2.9,1.0,3.9,3.8,3.0,Human Resources Manager
1.7,4.8,2.4,3.4,7.8,8.7,3.49,3.6,4.7,2.8,3.4,3.5,1.7,4.8,4.6,2.5,2.3,Accountant/Auditor
6.1,7.8,3.4,2.9,6.0,5.4,3.25,5.0,4.6,3.6,2.5,3.2,3.5,3.8,4.8,3.6,4.3,Cybersecurity Analyst
3.7,8.9,3.2,1.8,7.5,6.7,3.55,3.7,2.6,3.8,4.4,2.5,3.2,3.5,3.1,3.4,4.3,Cybersecurity Analyst
8.8,7.2,5.1,1.1,4.9,8.2,3.42,2.8,3.9,4.2,3.8,2.1,2.5,3.5,4.1,2.6,3.2,Cybersecurity Analyst
4.9,8.9,4.8,1.0,3.7,5.5,3.76,3.4,3.8,4.4,3.1,2.3,2.6,4.0,4.3,3.4,3.5,Cybersecurity Analyst
4.9,4.5,9.7,3.6,8.2,5.1,4.01,3.6,2.4,4.7,2.9,2.4,4.7,2.3,3.4,4.4,1.8,Graphic Designer/UI-UX
7.9,1.0,2.5,5.3,9.9,5.4,3.31,3.2,2.4,5.0,4.3,3.8,3.8,3.4,3.0,3.9,3.5,Entrepreneur
8.4,7.8,2.5,6.6,4.5,7.8,4.16,1.4,3.9,4.3,2.8,2.0,2.2,5.0,3.7,4.2,4.3,Medical Lab Scientist
8.2,8.4,5.2,4.9,5.9,8.6,3.14,3.6,5.0,4.4,1.0,2.8,3.3,3.2,4.9,2.1,4.2,Cybersecurity Analyst
1.9,4.7,4.5,8.4,5.3,6.5,2.78,2.2,1.4,3.1,4.1,4.7,2.9,2.6,4.1,5.0,3.4,Human Resources Manager
5.8,10.0,6.2,6.2,3.7,6.2,4.28,4.0,3.3,3.5,4.7,1.4,1.9,4.4,2.9,4.1,4.9,Medical Lab Scientist
8.6,8.0,3.0,4.3,4.0,3.2,3.62,4.5,3.5,4.5,4.0,5.0,3.1,4.4,2.4,4.1,2.7,Civil/Mechanical Engineer
2.9,8.0,4.1,8.7,6.5,7.8,4.26,1.5,5.0,3.5,4.6,2.3,2.8,1.6,5.0,2.9,3.1,Banker/Financial Analyst
9.0,7.7,4.5,4.6,7.6,4.6,3.72,2.4,4.6,4.1,2.8,2.2,3.6,4.9,5.0,3.5,3.1,Civil/Mechanical Engineer
6.8,7.7,4.0,3.1,4.2,4.1,4.46,2.9,3.1,4.6,3.6,2.1,1.0,4.7,3.4,4.1,4.5,Medical Lab Scientist
1.5,4.3,3.1,8.6,7.0,5.0,3.49,2.7,2.7,3.2,4.8,4.7,3.0,3.6,2.7,5.0,2.6,Human Resources Manager
4.3,4.9,4.6,4.2,8.8,8.4,3.77,2.2,4.7,4.7,4.2,1.4,2.9,2.1,4.3,3.8,2.3,Accountant/Auditor
3.7,3.8,4.3,9.2,6.8,3.8,3.19,1.8,1.0,4.4,4.6,3.6,3.0,2.1,3.9,4.9,4.2,Human Resources Manager
8.6,9.0,4.4,5.1,6.7,8.4,4.53,3.8,4.6,5.0,3.0,3.0,3.6,4.4,4.3,3.7,4.2,Data Scientist
3.9,3.9,4.2,9.5,5.7,9.2,3.43,1.2,4.7,4.0,2.1,4.6,2.9,3.1,4.3,3.6,3.7,Accountant/Auditor
4.0,3.7,4.1,9.2,9.2,5.9,2.46,1.8,3.0,4.5,4.4,4.9,4.0,1.9,3.8,4.9,2.2,Human Resources Manager
10.0,8.1,4.9,2.9,4.9,5.7,3.31,2.7,4.3,4.4,1.7,3.4,3.2,4.7,4.4,5.0,4.1,Civil/Mechanical Engineer
5.7,5.4,5.1,4.9,7.5,9.0,4.86,3.6,4.9,3.9,4.3,3.7,4.1,2.7,5.0,2.8,4.9,Banker/Financial Analyst
7.3,8.3,4.2,5.9,6.0,7.6,4.06,3.9,4.1,4.0,4.3,1.0,3.1,5.0,3.0,3.2,3.5,Cybersecurity Analyst
8.3,9.7,6.4,7.1,3.5,4.5,4.6,3.6,3.3,4.8,3.2,4.4,2.3,5.0,4.6,4.8,4.3,Medical Lab Scientist
3.9,7.3,3.3,7.6,6.7,4.9,3.81,3.1,3.5,3.6,4.9,5.0,4.2,3.3,2.6,5.0,4.0,Marketing/Sales Executive
3.7,6.6,7.6,9.3,5.3,5.0,3.54,1.1,1.2,2.8,5.0,3.2,3.1,3.5,1.0,4.2,3.2,Teacher/Lecturer
8.1,7.9,2.6,3.7,3.1,5.4,4.32,4.3,4.0,4.5,3.8,1.0,3.0,4.3,4.8,2.0,1.8,Software Developer
2.4,4.6,9.1,4.8,4.4,4.1,3.6,1.9,2.8,4.2,4.4,3.3,4.8,3.4,2.5,4.0,3.2,Graphic Designer/UI-UX
4.5,7.9,1.3,3.2,7.0,8.6,3.16,1.0,4.9,4.5,4.0,2.8,1.5,3.0,3.8,2.5,4.4,Accountant/Auditor
1.2,6.5,4.9,7.1,9.1,2.8,2.56,3.2,2.7,1.6,4.6,4.3,4.3,1.0,3.0,4.2,3.4,Marketing/Sales Executive
7.7,6.9,3.1,2.4,6.2,8.6,3.65,4.4,4.0,5.0,2.2,3.0,4.4,4.6,4.0,3.5,1.1,Software Developer
6.3,7.2,3.9,6.5,8.3,9.2,3.32,2.3,3.9,4.7,4.6,2.8,3.2,4.0,4.4,4.1,4.4,Banker/Financial Analyst
4.3,9.9,6.0,2.0,7.3,7.1,3.78,5.0,4.9,4.8,3.6,3.6,2.8,4.5,3.4,2.5,3.7,Cybersecurity Analyst
7.0,7.5,3.9,4.3,5.0,3.4,4.23,4.8,3.5,3.7,2.9,2.4,3.6,3.9,2.2,2.1,3.2,Software Developer
6.4,9.4,4.3,1.0,3.5,8.0,3.92,5.0,5.0,4.3,5.0,3.0,2.3,4.2,2.4,4.4,5.0,Cybersecurity Analyst
6.3,9.0,3.6,3.1,7.0,3.0,4.32,3.6,3.7,4.2,4.6,1.8,3.2,4.8,2.9,1.9,3.9,Cybersecurity Analyst
2.2,7.1,3.0,8.7,5.9,4.6,3.19,3.2,2.2,3.6,4.6,3.3,2.5,1.9,3.3,4.1,4.3,Teacher/Lecturer
8.7,7.7,6.4,5.6,3.2,7.0,4.3,2.8,4.7,4.7,2.5,3.2,4.2,4.5,4.4,4.3,4.5,Civil/Mechanical Engineer
7.5,6.5,3.8,4.8,4.8,5.5,3.49,3.6,3.3,4.6,5.0,2.3,2.9,4.5,3.5,3.9,2.3,Cybersecurity Analyst
4.5,4.7,6.5,8.8,6.8,6.5,3.8,2.0,4.5,3.5,3.8,2.3,2.5,3.3,2.6,4.1,3.7,Teacher/Lecturer
4.8,5.5,5.4,8.0,5.8,6.2,2.71,2.5,1.0,4.0,4.5,4.1,3.1,1.0,2.6,3.8,2.4,Human Resources Manager
5.0,3.5,8.9,5.2,7.1,6.1,1.5,2.8,1.0,4.8,4.0,4.2,4.9,2.3,1.8,3.2,3.8,Graphic Designer/UI-UX
5.7,4.7,5.8,8.3,9.1,1.4,3.8,1.0,2.8,3.4,4.4,4.3,4.7,2.3,4.4,5.0,4.6,Marketing/Sales Executive
8.1,9.5,4.4,8.1,3.5,6.2,4.02,2.7,4.0,3.4,3.8,2.7,2.3,4.5,3.3,1.9,3.2,Medical Lab Scientist
3.8,5.7,4.5,8.3,7.0,9.9,2.97,3.3,4.0,4.5,3.1,2.8,3.2,2.2,4.3,5.0,3.9,Banker/Financial Analyst
7.7,6.0,2.6,6.8,5.4,4.6,3.22,2.1,4.0,5.0,3.3,2.2,5.0,4.2,3.0,4.3,3.9,Civil/Mechanical Engineer
10.0,7.6,6.2,1.0,7.3,4.4,3.58,3.4,4.3,4.5,4.7,3.2,2.5,5.0,4.0,4.9,4.3,Civil/Mechanical Engineer
7.6,6.8,3.9,6.4,7.1,7.2,3.61,4.5,3.9,5.0,2.2,2.0,4.4,4.2,4.9,1.8,3.5,Software Developer
8.7,9.4,5.4,6.1,6.1,7.0,4.76,1.0,4.1,4.4,2.8,3.5,1.5,4.2,2.6,4.6,4.4,Medical Lab Scientist
8.1,6.5,6.0,4.1,5.6,5.2,4.34,3.1,4.5,4.9,2.3,5.0,3.4,4.8,2.9,4.9,3.1,Cybersecurity Analyst
6.8,3.3,9.3,8.6,5.3,3.6,3.4,5.0,4.0,3.7,4.2,3.9,4.7,2.5,3.9,3.8,3.6,Graphic Designer/UI-UX
5.1,6.1,3.3,6.3,7.7,9.3,3.73,2.1,4.8,3.2,3.2,1.9,3.6,2.4,4.7,3.1,5.0,Accountant/Auditor
6.1,8.3,6.1,6.1,4.2,6.8,3.71,4.2,3.2,4.3,3.6,3.9,3.8,4.5,4.2,3.3,3.4,Medical Lab Scientist
4.7,5.7,8.1,6.1,8.9,7.2,2.97,1.0,2.4,5.0,4.7,4.6,4.9,3.2,3.1,4.8,3.0,Entrepreneur
5.2,5.0,9.2,6.8,5.3,3.6,3.6,3.9,2.4,4.3,3.3,3.0,5.0,4.0,2.2,2.8,2.2,Graphic Designer/UI-UX
5.2,7.2,6.9,5.6,9.1,6.6,4.21,1.0,3.4,4.6,4.1,5.0,4.1,4.3,3.0,4.4,3.5,Entrepreneur
2.3,6.8,4.6,6.6,8.9,9.8,3.01,3.2,4.7,4.2,3.7,5.0,2.3,1.0,4.5,3.6,5.0,Banker/Financial Analyst
6.2,9.4,2.6,5.6,7.7,9.0,4.14,1.7,4.4,3.0,4.7,3.5,1.7,3.1,4.3,4.8,3.1,Banker/Financial Analyst
5.7,6.7,8.3,4.9,7.9,5.7,3.83,3.3,1.9,3.6,4.2,3.4,4.5,4.6,4.2,4.0,4.7,Graphic Designer/UI-UX
8.1,6.4,6.6,8.7,5.5,5.5,3.49,2.1,4.5,4.0,3.9,3.5,2.8,3.4,2.2,4.9,4.7,Teacher/Lecturer
6.1,9.4,5.4,5.2,5.1,2.6,4.56,2.0,3.9,4.0,4.6,2.0,4.1,4.7,4.4,2.7,3.8,Medical Lab Scientist
2.9,8.2,4.7,4.5,7.7,7.6,2.9,3.0,4.2,3.6,5.0,3.1,2.9,3.8,4.4,3.2,4.0,Banker/Financial Analyst
9.2,9.3,4.4,4.8,3.4,5.4,3.9,2.9,3.2,4.2,3.0,3.2,2.3,4.1,3.5,3.5,4.5,Medical Lab Scientist
3.0,6.4,4.0,3.5,7.9,8.3,4.53,3.8,4.2,4.1,4.8,4.0,1.6,4.7,4.0,5.0,4.1,Banker/Financial Analyst
4.4,9.5,2.9,7.9,4.6,7.9,3.58,1.6,3.9,4.5,4.1,3.2,4.9,3.7,4.5,5.0,3.4,Teacher/Lecturer
3.9,6.0,3.8,8.9,6.2,8.6,3.47,3.2,4.1,3.4,4.9,3.1,3.7,2.3,3.4,4.8,3.6,Teacher/Lecturer
4.1,5.8,8.5,8.0,8.1,4.7,1.9,1.5,2.2,1.9,5.0,4.1,2.9,2.0,4.7,5.0,3.3,Marketing/Sales Executive
5.7,8.8,4.9,4.6,5.5,7.2,4.45,4.2,4.3,4.3,1.7,5.0,4.0,3.1,4.7,2.4,5.0,Data Scientist
6.9,8.4,4.1,4.6,5.9,4.6,3.33,2.7,2.9,3.5,3.6,2.1,2.7,4.2,3.4,1.0,4.6,Medical Lab Scientist
10.0,9.0,5.7,3.0,4.6,5.5,4.36,3.4,4.7,4.3,4.0,3.8,3.5,4.4,3.4,1.9,3.5,Civil/Mechanical Engineer
5.0,5.6,6.5,9.2,5.5,4.2,4.0,2.8,5.0,3.9,5.0,4.9,3.5,3.7,2.2,4.4,3.6,Teacher/Lecturer
5.8,9.0,3.5,6.4,3.0,8.3,4.4,2.5,3.6,4.7,3.8,3.2,3.7,5.0,3.1,1.9,4.1,Medical Lab Scientist
4.3,2.8,4.6,7.9,9.6,5.4,3.14,1.1,1.0,4.3,4.5,4.2,3.5,1.0,4.8,3.2,4.8,Human Resources Manager
1.0,6.2,7.3,6.3,9.0,2.8,2.74,3.3,1.6,3.8,4.1,4.5,4.5,3.0,3.5,5.0,2.7,Marketing/Sales Executive
2.2,6.4,6.2,6.1,10.0,5.2,3.46,1.0,4.8,4.1,3.9,4.7,5.0,5.0,2.4,5.0,3.6,Entrepreneur
3.2,4.3,5.3,6.2,8.9,6.0,4.17,1.0,1.0,5.0,4.7,4.4,4.5,2.1,5.0,4.8,2.8,Marketing/Sales Executive
2.5,3.6,8.2,9.1,4.3,4.8,3.77,3.4,1.8,3.5,5.0,4.5,4.1,2.9,3.3,4.3,3.6,Teacher/Lecturer
5.7,5.7,5.2,4.9,9.4,6.0,3.7,2.0,1.0,2.9,4.4,4.8,4.0,2.3,3.6,4.1,2.9,Entrepreneur
9.4,6.7,2.7,2.2,6.7,4.4,3.42,3.6,4.0,3.4,1.9,3.4,3.9,4.6,3.9,1.4,2.1,Civil/Mechanical Engineer
6.6,7.2,9.3,6.9,5.3,4.9,3.4,3.8,4.3,4.7,3.7,4.6,4.9,4.1,2.6,4.0,3.7,Graphic Designer/UI-UX
8.8,8.6,3.8,3.6,5.1,3.7,3.62,2.9,5.0,4.2,3.5,4.3,2.7,5.0,5.0,3.0,3.0,Civil/Mechanical Engineer
8.8,7.2,3.7,6.1,3.4,6.0,4.3,3.4,5.0,4.7,3.7,3.8,4.1,4.5,2.3,4.0,4.5,Civil/Mechanical Engineer
5.1,7.6,4.2,4.6,8.0,6.7,2.98,2.1,2.9,2.8,3.5,4.1,4.7,1.0,3.8,4.4,1.7,Entrepreneur
5.7,5.6,9.2,4.4,7.3,1.6,3.21,3.1,1.9,4.0,2.4,1.7,5.0,3.7,2.4,4.2,4.5,Graphic Designer/UI-UX
4.0,4.2,7.6,6.4,9.7,5.9,3.43,2.9,3.8,3.8,3.6,4.4,4.6,2.4,5.0,4.5,3.4,Entrepreneur
3.8,8.9,4.1,7.8,6.5,8.4,3.32,2.1,4.2,4.9,3.8,1.7,2.7,3.1,4.3,3.4,3.3,Accountant/Auditor
9.0,8.8,5.4,4.4,5.7,5.9,3.85,2.8,4.2,5.0,3.7,3.0,3.3,5.0,2.8,1.5,2.2,Civil/Mechanical Engineer
1.7,5.7,1.7,5.6,6.0,10.0,3.81,1.8,3.6,4.6,2.9,2.8,4.0,3.5,4.7,4.0,4.1,Accountant/Auditor
7.9,8.2,6.2,1.8,5.7,7.5,4.13,1.0,4.8,3.6,3.1,2.8,3.2,4.8,4.6,3.8,4.6,Medical Lab Scientist
4.7,7.2,3.4,6.4,7.3,8.8,3.72,1.0,5.0,3.8,3.5,2.7,2.9,2.0,4.0,3.2,2.7,Accountant/Auditor
7.4,7.8,1.7,5.2,4.2,8.1,4.37,3.4,4.4,4.4,2.5,3.1,3.3,5.0,4.5,4.2,4.0,Medical Lab Scientist
9.2,7.9,5.1,4.4,3.9,6.9,4.2,2.2,4.7,4.9,2.9,3.2,4.0,4.1,2.5,2.0,1.9,Civil/Mechanical Engineer
3.6,8.1,8.9,6.4,6.2,5.1,2.1,3.5,2.5,4.7,3.4,4.2,4.4,3.1,1.2,2.3,3.3,Graphic Designer/UI-UX
5.4,6.1,5.7,3.5,9.6,4.8,3.69,4.4,1.7,3.0,4.7,3.6,4.1,2.4,3.6,3.7,3.7,Entrepreneur
10.0,8.7,6.6,2.9,6.1,3.8,3.58,4.7,4.0,5.0,4.2,4.5,2.4,4.9,3.4,4.1,2.0,Civil/Mechanical Engineer
6.5,7.8,2.3,6.7,3.7,5.7,3.19,4.0,4.6,5.0,2.2,1.5,3.6,4.6,4.3,4.1,4.3,Data Scientist
8.3,8.0,3.1,2.8,6.4,4.7,4.04,3.1,4.5,4.5,4.4,4.1,4.5,5.0,4.1,1.6,3.3,Cybersecurity Analyst
1.0,3.3,7.2,6.1,7.8,4.0,3.47,1.6,2.1,4.2,4.8,3.5,4.3,1.0,4.2,5.0,2.9,Marketing/Sales Executive
7.3,7.4,3.9,4.9,3.3,6.9,2.99,2.0,5.0,3.5,4.5,3.0,2.3,3.8,4.1,4.5,4.3,Medical Lab Scientist
2.1,10.0,4.3,2.6,5.7,6.8,4.01,5.0,3.6,4.1,3.9,3.8,3.3,5.0,3.7,1.9,4.3,Cybersecurity Analyst
2.0,4.1,9.2,5.1,8.1,1.8,3.23,1.6,4.0,4.2,4.0,2.9,4.5,4.6,3.0,3.5,3.8,Graphic Designer/UI-UX
7.1,8.3,3.6,6.0,7.3,4.1,3.86,3.4,3.6,4.7,3.0,3.2,3.8,4.6,3.5,2.2,3.0,Cybersecurity Analyst
8.5,8.3,6.0,5.6,5.8,5.9,4.1,1.0,4.5,4.4,3.5,3.4,3.9,4.5,4.5,3.5,3.6,Civil/Mechanical Engineer
8.9,6.6,4.7,3.1,3.8,7.2,4.09,3.0,4.5,4.4,3.7,2.8,4.3,4.8,3.3,2.5,4.3,Civil/Mechanical Engineer
3.4,4.0,5.3,5.6,9.2,6.9,2.9,3.5,3.2,4.0,5.0,4.9,3.9,2.9,4.0,4.4,3.2,Marketing/Sales Executive
6.0,4.9,1.2,3.7,6.8,7.3,4.18,1.1,4.3,3.7,3.4,3.1,3.2,3.0,4.2,3.6,3.5,Accountant/Auditor
6.8,8.9,4.1,4.1,1.0,4.3,3.93,4.0,4.0,4.7,2.7,3.0,2.6,4.1,4.3,2.7,3.0,Software Developer
3.5,7.2,3.9,4.1,5.1,8.9,3.55,3.3,5.0,3.0,2.9,4.4,2.6,2.0,5.0,3.5,5.0,Accountant/Auditor
6.1,5.1,8.3,4.5,7.1,2.3,3.4,3.2,3.5,4.1,3.2,3.2,5.0,3.6,3.9,2.1,3.2,Graphic Designer/UI-UX
5.0,8.8,1.0,5.0,6.1,8.5,3.19,4.1,4.3,4.7,2.4,1.0,3.5,4.4,3.6,3.6,4.0,Cybersecurity Analyst
5.2,7.4,5.7,8.3,4.4,5.3,3.25,2.2,2.4,4.1,4.7,4.7,3.7,2.7,2.2,4.5,3.3,Teacher/Lecturer
7.7,8.2,5.2,4.3,6.6,5.5,4.26,4.4,4.7,4.0,3.2,4.6,2.2,4.5,3.2,2.1,4.3,Civil/Mechanical Engineer
5.9,7.1,5.5,4.1,8.6,5.3,2.8,3.1,1.8,4.0,4.6,4.7,3.9,3.7,3.5,2.7,3.7,Entrepreneur
3.6,6.7,3.0,5.8,5.5,8.3,3.68,1.2,4.4,4.3,4.4,3.4,1.2,4.2,5.0,3.3,2.6,Accountant/Auditor
8.6,7.5,6.2,5.6,1.3,3.4,2.68,4.4,4.5,5.0,3.1,4.4,2.3,3.0,3.8,2.9,3.5,Software Developer
6.1,5.9,5.2,4.7,7.9,7.7,4.65,2.6,3.7,4.3,4.5,3.8,2.1,3.7,5.0,2.5,3.1,Banker/Financial Analyst
3.0,8.0,4.6,5.3,6.9,9.1,2.71,3.6,4.5,3.9,4.5,3.5,2.8,2.8,4.9,3.9,2.3,Banker/Financial Analyst
5.4,7.7,4.2,4.3,6.0,6.9,3.05,5.0,4.8,3.9,3.5,2.4,3.3,5.0,5.0,3.6,4.2,Cybersecurity Analyst
5.8,9.1,4.7,4.5,2.4,5.7,2.2,4.4,2.9,5.0,3.7,3.3,4.9,3.5,5.0,3.4,3.3,Software Developer
9.0,7.9,2.3,3.8,5.4,6.2,3.24,1.7,4.3,5.0,2.6,4.6,4.9,4.7,2.9,3.5,3.7,Civil/Mechanical Engineer
5.3,6.2,8.6,3.1,5.5,5.1,2.78,1.3,1.8,4.9,4.4,2.9,4.5,3.7,3.0,3.7,5.0,Graphic Designer/UI-UX
7.9,7.7,5.7,2.9,6.1,5.8,3.85,4.1,4.5,5.0,2.1,2.5,3.7,4.8,3.4,1.0,4.7,Software Developer
3.7,5.0,9.6,3.3,6.5,1.7,2.34,4.0,1.5,4.1,3.1,3.3,4.3,4.7,3.6,2.8,1.6,Graphic Designer/UI-UX
4.8,8.4,4.8,1.3,3.0,9.3,3.73,5.0,4.8,3.7,4.1,2.9,2.8,4.0,4.9,3.7,5.0,Data Scientist
7.5,5.1,7.9,3.4,7.3,4.3,2.72,5.0,3.5,4.4,3.6,4.2,5.0,3.4,3.9,4.2,3.5,Graphic Designer/UI-UX
3.4,6.1,4.9,6.1,7.1,7.2,4.36,1.5,4.8,3.2,4.8,4.6,1.1,3.2,4.7,4.4,4.1,Banker/Financial Analyst
9.3,7.6,3.8,4.2,5.4,8.2,3.26,2.4,4.6,4.2,3.2,4.5,1.0,4.5,1.9,1.8,5.0,Civil/Mechanical Engineer
8.6,7.2,3.2,2.8,6.1,2.9,3.66,2.7,4.8,3.5,3.3,3.8,1.8,4.3,3.4,3.5,3.7,Civil/Mechanical Engineer
4.8,9.9,4.5,5.1,8.0,7.4,3.88,4.5,4.5,4.3,2.1,3.9,2.9,3.9,4.5,3.4,3.8,Data Scientist
3.1,5.6,4.8,6.5,9.1,6.6,2.97,1.3,3.8,4.3,4.8,5.0,5.0,2.7,2.4,4.8,2.5,Marketing/Sales Executive
1.0,6.7,9.8,9.7,4.3,6.3,3.5,3.4,2.5,4.8,5.0,4.3,5.0,3.5,4.0,5.0,4.5,Teacher/Lecturer
3.7,2.5,5.7,9.2,9.3,6.8,3.81,1.2,4.7,2.4,4.8,3.1,3.2,3.2,2.3,5.0,1.2,Marketing/Sales Executive
5.7,5.4,3.9,4.7,4.6,8.1,3.91,2.7,4.8,4.6,4.8,2.5,3.1,3.7,4.3,3.3,3.0,Accountant/Auditor
6.7,4.7,6.5,3.9,4.2,6.9,3.5,3.3,4.4,4.1,3.6,4.2,3.3,4.5,3.2,1.0,3.8,Civil/Mechanical Engineer
3.4,6.2,5.4,9.1,6.3,7.7,3.59,1.6,3.1,3.2,4.5,4.4,2.8,3.8,2.6,5.0,3.3,Human Resources Manager
3.2,5.5,9.6,5.8,6.7,4.1,3.22,1.6,1.0,2.9,3.5,3.9,4.4,2.8,2.3,4.5,3.3,Graphic Designer/UI-UX
8.4,8.9,3.5,8.0,9.2,7.1,3.4,2.4,4.1,4.5,5.0,4.0,3.7,2.1,2.1,4.0,3.9,Teacher/Lecturer
7.1,7.0,3.8,5.3,5.4,8.8,2.66,2.1,5.0,4.1,3.9,4.1,2.8,2.3,4.5,2.2,3.5,Accountant/Auditor
6.2,8.4,5.2,5.1,5.6,6.0,4.3,3.7,4.4,4.8,1.9,1.3,2.8,3.7,4.4,1.9,2.7,Software Developer
8.7,10.0,2.1,3.7,7.0,6.6,3.63,2.9,3.7,4.2,3.5,4.5,2.9,4.6,2.6,3.2,4.2,Civil/Mechanical Engineer
5.4,10.0,4.6,3.6,3.9,9.5,3.79,4.7,4.5,4.4,4.4,2.6,2.8,4.7,5.0,3.6,3.9,Data Scientist
7.0,8.0,4.0,4.7,4.0,8.2,3.87,5.0,4.6,4.9,4.2,2.4,1.4,4.1,4.8,3.6,4.2,Data Scientist
3.5,5.4,8.6,6.2,9.0,6.5,2.64,2.0,4.7,3.5,5.0,4.2,5.0,1.0,3.1,3.9,2.6,Marketing/Sales Executive
5.1,3.3,6.5,2.3,8.6,9.3,3.79,2.2,5.0,4.4,3.8,2.7,1.9,3.0,4.0,3.8,2.7,Accountant/Auditor
5.4,4.2,2.2,5.4,6.3,7.2,3.84,1.9,5.0,3.9,4.0,4.0,1.4,3.3,4.7,3.5,4.0,Banker/Financial Analyst
4.2,7.8,5.4,8.0,3.4,5.5,3.57,3.2,4.3,3.8,4.5,4.7,3.3,2.3,1.7,4.9,3.9,Teacher/Lecturer
2.3,4.2,5.2,3.7,9.9,4.4,3.62,2.7,3.9,5.0,4.8,5.0,4.7,3.1,3.6,2.4,2.9,Entrepreneur
7.8,8.8,2.5,4.6,1.2,8.3,3.25,2.7,3.8,5.0,2.9,3.1,1.3,3.5,4.4,1.2,4.4,Medical Lab Scientist
4.3,8.7,6.9,6.5,3.7,7.4,3.68,4.4,4.6,4.8,1.6,4.3,4.7,3.8,4.1,3.0,3.7,Software Developer
1.9,2.7,5.2,8.6,7.8,4.2,3.61,1.0,1.0,5.0,5.0,4.4,1.5,1.7,3.4,4.0,4.6,Human Resources Manager
5.4,5.9,9.4,7.5,5.7,2.6,3.04,2.5,1.6,2.2,4.2,3.0,5.0,5.0,3.5,3.8,2.6,Graphic Designer/UI-UX
4.0,5.3,4.0,9.3,7.0,3.4,3.32,1.3,4.1,2.7,4.4,4.6,5.0,4.2,3.0,4.5,3.7,Human Resources Manager
6.7,8.2,5.0,3.8,6.7,3.6,3.32,5.0,3.6,5.0,4.5,2.4,4.1,3.4,4.4,2.7,3.9,Software Developer
3.9,7.4,5.2,7.6,8.2,5.1,3.84,1.4,4.9,3.9,4.7,4.3,5.0,3.3,5.0,5.0,4.1,Entrepreneur
